NR_conventional_hydroelectric,NER_conventional_hydroelectric,WR_conventional_hydroelectric,ER_conventional_hydroelectric,SR_conventional_hydroelectric
0.317486466,0.583493825,0.139780496,0.139780496,0.139780496
0.31769833,0.583559163,0.139778818,0.139778818,0.139778818
0.317920059,0.583643991,0.139804507,0.139804507,0.139804507
0.318124972,0.583760884,0.1398318,0.1398318,0.1398318
0.318337987,0.583832466,0.139859093,0.139859093,0.139859093
0.318551614,0.583901424,0.139884783,0.139884783,0.139884783
0.318766339,0.583988017,0.139883105,0.139883105,0.139883105
0.318969542,0.584090546,0.139910092,0.139910092,0.139910092
0.319184267,0.58414647,0.139903276,0.139903276,0.139903276
0.319397894,0.584262342,0.139930569,0.139930569,0.139930569
0.31961786,0.584329324,0.139928585,0.139928585,0.139928585
0.319822773,0.584440104,0.139955878,0.139955878,0.139955878
0.320035787,0.584500122,0.139981568,0.139981568,0.139981568
0.320249415,0.584603273,0.140008861,0.140008861,0.140008861
0.32046414,0.584668259,0.140007183,0.140007183,0.140007183
0.320667342,0.584756534,0.140032872,0.140032872,0.140032872
0.320890781,0.584830781,0.140027354,0.140027354,0.140027354
0.321095694,0.584941562,0.140054341,0.140054341,0.140054341
0.32131566,0.584994315,0.140051365,0.140051365,0.140051365
0.321520573,0.585097466,0.140078659,0.140078659,0.140078659
0.321744012,0.585179342,0.140105646,0.140105646,0.140105646
0.321947215,0.585295214,0.140132939,0.140132939,0.140132939
0.32216194,0.58537179,0.140129657,0.140129657,0.140129657
0.322373857,0.585452645,0.14015695,0.14015695,0.14015695
0.322588582,0.585544021,0.140184244,0.140184244,0.140184244
0.322793495,0.585598923,0.140177121,0.140177121,0.140177121
0.32300651,0.58570346,0.140212057,0.140212057,0.140212057
0.323227088,0.585780134,0.140239044,0.140239044,0.140239044
0.323441813,0.585865983,0.14026504,0.14026504,0.14026504
0.323645016,0.585946837,0.140292027,0.140292027,0.140292027
0.323835268,0.586055105,0.140290349,0.140290349,0.140290349
0.324056953,0.586137603,0.140317642,0.140317642,0.140317642
0.32426191,0.586221808,0.140343331,0.140343331,0.140343331
0.324476591,0.586283235,0.140337813,0.140337813,0.140337813
0.324688552,0.586395037,0.1403648,0.1403648,0.1403648
0.324903233,0.58644103,0.140361824,0.140361824,0.140361824
0.325115141,0.586550941,0.140389118,0.140389118,0.140389118
0.325328112,0.586631795,0.140416105,0.140416105,0.140416105
0.325541783,0.586716001,0.1404421,0.1404421,0.1404421
